,query_text,QuestionId_Answer,ConstructName,SubjectName,QuestionText,correct_answer,incorrect_answer,MisconceptionID
1292,"###question###:Averages and Range from Frequency Table-Interpret numbers in a frequency table-Below is data from a Hockey team's matches over the course of a season, showing the number of goals scored. How many matches did the team play? ![\begin{tabular}{|c|c|}
\hline Goals scored & Frequency \\
\hline \( 0 \) & \( 6 \) \\
\hline \( 1 \) & \( 7 \) \\
\hline \( 2 \) & \( 4 \) \\
\hline \( 3 \) & \( 3 \) \\
\hline \( 4 \) & \( 1 \) \\
\hline
\end{tabular}]()
###Correct Answer###:\( 21 \)
###Misconcepte Incorrect answer###:C.\( 28 \)",546_C,Interpret numbers in a frequency table,Averages and Range from Frequency Table,"Below is data from a Hockey team's matches over the course of a season, showing the number of goals scored. How many matches did the team play? ![\begin{tabular}{|c|c|}
\hline Goals scored & Frequency \\
\hline \( 0 \) & \( 6 \) \\
\hline \( 1 \) & \( 7 \) \\
\hline \( 2 \) & \( 4 \) \\
\hline \( 3 \) & \( 3 \) \\
\hline \( 4 \) & \( 1 \) \\
\hline
\end{tabular}]()",\( 21 \),\( 28 \),507.0
1293,"###question###:Averages and Range from Frequency Table-Interpret numbers in a frequency table-Below is data from a Hockey team's matches over the course of a season, showing the number of goals scored. How many matches did the team play? ![\begin{tabular}{|c|c|}
\hline Goals scored & Frequency \\
\hline \( 0 \) & \( 6 \) \\
\hline \( 1 \) & \( 7 \) \\
\hline \( 2 \) & \( 4 \) \\
\hline \( 3 \) & \( 3 \) \\
\hline \( 4 \) & \( 1 \) \\
\hline
\end{tabular}]()
###Correct Answer###:\( 21 \)
###Misconcepte Incorrect answer###:D.\( 10 \)",546_D,Interpret numbers in a frequency table,Averages and Range from Frequency Table,"Below is data from a Hockey team's matches over the course of a season, showing the number of goals scored. How many matches did the team play? ![\begin{tabular}{|c|c|}
\hline Goals scored & Frequency \\
\hline \( 0 \) & \( 6 \) \\
\hline \( 1 \) & \( 7 \) \\
\hline \( 2 \) & \( 4 \) \\
\hline \( 3 \) & \( 3 \) \\
\hline \( 4 \) & \( 1 \) \\
\hline
\end{tabular}]()",\( 21 \),\( 10 \),2343.0
1294,"###question###:Factorising into a Double Bracket-Factorise a quadratic expression in the form x² + bx - c-If
\(
m^{2}+5 m-14 \equiv(m+a)(m+b)
\)
then \( a \times b= \)
###Correct Answer###:\( -14 \)
###Misconcepte Incorrect answer###:A.\( 5 \)",547_A,Factorise a quadratic expression in the form x² + bx - c,Factorising into a Double Bracket,"If
\(
m^{2}+5 m-14 \equiv(m+a)(m+b)
\)
then \( a \times b= \)",\( -14 \),\( 5 \),1606.0
1295,"###question###:Factorising into a Double Bracket-Factorise a quadratic expression in the form x² + bx - c-If
\(
m^{2}+5 m-14 \equiv(m+a)(m+b)
\)
then \( a \times b= \)
###Correct Answer###:\( -14 \)
###Misconcepte Incorrect answer###:C.\( 14 \)",547_C,Factorise a quadratic expression in the form x² + bx - c,Factorising into a Double Bracket,"If
\(
m^{2}+5 m-14 \equiv(m+a)(m+b)
\)
then \( a \times b= \)",\( -14 \),\( 14 \),2479.0
1296,"###question###:Percentages of an Amount-Express one quantity as a percentage of another mentally-What is \( 60 \mathrm{~m} \) as a percentage of \( 2 \mathrm{~km} \) ?
###Correct Answer###:\( 3 \% \)
###Misconcepte Incorrect answer###:A.\( 333 \% \)",548_A,Express one quantity as a percentage of another mentally,Percentages of an Amount,What is \( 60 \mathrm{~m} \) as a percentage of \( 2 \mathrm{~km} \) ?,\( 3 \% \),\( 333 \% \),2191.0
1297,"###question###:Percentages of an Amount-Express one quantity as a percentage of another mentally-What is \( 60 \mathrm{~m} \) as a percentage of \( 2 \mathrm{~km} \) ?
###Correct Answer###:\( 3 \% \)
###Misconcepte Incorrect answer###:B.\( 30 \% \)",548_B,Express one quantity as a percentage of another mentally,Percentages of an Amount,What is \( 60 \mathrm{~m} \) as a percentage of \( 2 \mathrm{~km} \) ?,\( 3 \% \),\( 30 \% \),2132.0
1298,"###question###:Percentages of an Amount-Express one quantity as a percentage of another mentally-What is \( 60 \mathrm{~m} \) as a percentage of \( 2 \mathrm{~km} \) ?
###Correct Answer###:\( 3 \% \)
###Misconcepte Incorrect answer###:D.\( 60 \% \)",548_D,Express one quantity as a percentage of another mentally,Percentages of an Amount,What is \( 60 \mathrm{~m} \) as a percentage of \( 2 \mathrm{~km} \) ?,\( 3 \% \),\( 60 \% \),2039.0
1299,"###question###:Writing Ratios-Express pictorial representations of objects as a ratio-![A group of 8 squares and 5 circles]() What is the ratio of squares to circles?
###Correct Answer###:\( 8: 5 \)
###Misconcepte Incorrect answer###:A.\( 5: 13 \)",549_A,Express pictorial representations of objects as a ratio,Writing Ratios,![A group of 8 squares and 5 circles]() What is the ratio of squares to circles?,\( 8: 5 \),\( 5: 13 \),1986.0
1300,"###question###:Writing Ratios-Express pictorial representations of objects as a ratio-![A group of 8 squares and 5 circles]() What is the ratio of squares to circles?
###Correct Answer###:\( 8: 5 \)
###Misconcepte Incorrect answer###:C.\( 8: 13 \)",549_C,Express pictorial representations of objects as a ratio,Writing Ratios,![A group of 8 squares and 5 circles]() What is the ratio of squares to circles?,\( 8: 5 \),\( 8: 13 \),1986.0
1301,"###question###:Writing Ratios-Express pictorial representations of objects as a ratio-![A group of 8 squares and 5 circles]() What is the ratio of squares to circles?
###Correct Answer###:\( 8: 5 \)
###Misconcepte Incorrect answer###:D.\( 5: 8 \)",549_D,Express pictorial representations of objects as a ratio,Writing Ratios,![A group of 8 squares and 5 circles]() What is the ratio of squares to circles?,\( 8: 5 \),\( 5: 8 \),105.0
1302,"###question###:BIDMAS-Use the order of operations to carry out calculations involving addition, subtraction, multiplication, and/or division-Tom and Katie are discussing the order of operations
Tom says: \( 3+2-1 \equiv 3-1+2 \)
Katie says: \( 3+2 \times 1 \equiv 2 \times 1+3 \)
###Correct Answer###:Both Tom and Katie
###Misconcepte Incorrect answer###:A.Only
Tom",550_A,"Use the order of operations to carry out calculations involving addition, subtraction, multiplication, and/or division",BIDMAS,"Tom and Katie are discussing the order of operations
Tom says: \( 3+2-1 \equiv 3-1+2 \)
Katie says: \( 3+2 \times 1 \equiv 2 \times 1+3 \)",Both Tom and Katie,"Only
Tom",328.0
1303,"###question###:BIDMAS-Use the order of operations to carry out calculations involving addition, subtraction, multiplication, and/or division-Tom and Katie are discussing the order of operations
Tom says: \( 3+2-1 \equiv 3-1+2 \)
Katie says: \( 3+2 \times 1 \equiv 2 \times 1+3 \)
###Correct Answer###:Both Tom and Katie
###Misconcepte Incorrect answer###:B.Only Katie",550_B,"Use the order of operations to carry out calculations involving addition, subtraction, multiplication, and/or division",BIDMAS,"Tom and Katie are discussing the order of operations
Tom says: \( 3+2-1 \equiv 3-1+2 \)
Katie says: \( 3+2 \times 1 \equiv 2 \times 1+3 \)",Both Tom and Katie,Only Katie,1507.0
1304,"###question###:Measuring Angles-Use a protractor to measure angles between 180° and 270°-Jo and Paul are arguing about the size of the marked angle.
Jo says it is \( 120^{\circ} \)
Paul says it is \( 60^{\circ} \)
Who is correct? ![Angle with a protractor over it showing 240 degrees]()
###Correct Answer###:Neither is correct
###Misconcepte Incorrect answer###:A.Only
Jo",551_A,Use a protractor to measure angles between 180° and 270°,Measuring Angles,"Jo and Paul are arguing about the size of the marked angle.
Jo says it is \( 120^{\circ} \)
Paul says it is \( 60^{\circ} \)
Who is correct? ![Angle with a protractor over it showing 240 degrees]()",Neither is correct,"Only
Jo",1703.0
1305,"###question###:Measuring Angles-Use a protractor to measure angles between 180° and 270°-Jo and Paul are arguing about the size of the marked angle.
Jo says it is \( 120^{\circ} \)
Paul says it is \( 60^{\circ} \)
Who is correct? ![Angle with a protractor over it showing 240 degrees]()
###Correct Answer###:Neither is correct
###Misconcepte Incorrect answer###:B.Only
Paul",551_B,Use a protractor to measure angles between 180° and 270°,Measuring Angles,"Jo and Paul are arguing about the size of the marked angle.
Jo says it is \( 120^{\circ} \)
Paul says it is \( 60^{\circ} \)
Who is correct? ![Angle with a protractor over it showing 240 degrees]()",Neither is correct,"Only
Paul",2535.0
1306,"###question###:Quadratic Equations-Solve quadratic equations using factorisation in the form (x + a)(x + b) -One of these equations has exactly one solution.
Which is it?
###Correct Answer###:\( t^{2}-8 t+16=0 \)
###Misconcepte Incorrect answer###:A.\( t^{2}-16=0 \)",552_A,Solve quadratic equations using factorisation in the form (x + a)(x + b) ,Quadratic Equations,"One of these equations has exactly one solution.
Which is it?",\( t^{2}-8 t+16=0 \),\( t^{2}-16=0 \),547.0
1307,"###question###:Dividing Fractions-Find missing numbers in a fraction multiplication-Barry has two fraction cards.
\( \frac{3}{7} \quad \square\)
The product of the cards is \( \frac{2}{5} \) What is the other card?
###Correct Answer###:\( \frac{14}{15} \)
###Misconcepte Incorrect answer###:A.\( \frac{29}{35} \)",553_A,Find missing numbers in a fraction multiplication,Dividing Fractions,"Barry has two fraction cards.
\( \frac{3}{7} \quad \square\)
The product of the cards is \( \frac{2}{5} \) What is the other card?",\( \frac{14}{15} \),\( \frac{29}{35} \),1128.0
1308,"###question###:Dividing Fractions-Find missing numbers in a fraction multiplication-Barry has two fraction cards.
\( \frac{3}{7} \quad \square\)
The product of the cards is \( \frac{2}{5} \) What is the other card?
###Correct Answer###:\( \frac{14}{15} \)
###Misconcepte Incorrect answer###:C.\( \frac{1}{35} \)",553_C,Find missing numbers in a fraction multiplication,Dividing Fractions,"Barry has two fraction cards.
\( \frac{3}{7} \quad \square\)
The product of the cards is \( \frac{2}{5} \) What is the other card?",\( \frac{14}{15} \),\( \frac{1}{35} \),1128.0
1309,"###question###:Dividing Fractions-Find missing numbers in a fraction multiplication-Barry has two fraction cards.
\( \frac{3}{7} \quad \square\)
The product of the cards is \( \frac{2}{5} \) What is the other card?
###Correct Answer###:\( \frac{14}{15} \)
###Misconcepte Incorrect answer###:D.\( \frac{6}{35} \)",553_D,Find missing numbers in a fraction multiplication,Dividing Fractions,"Barry has two fraction cards.
\( \frac{3}{7} \quad \square\)
The product of the cards is \( \frac{2}{5} \) What is the other card?",\( \frac{14}{15} \),\( \frac{6}{35} \),1128.0
1310,"###question###:Gradient as change in y over change in x-Work out the equation of a line with a negative gradient from an accurate drawing-If you were to write the equation of this line in the form \( \boldsymbol{y}=\boldsymbol{m} \boldsymbol{x}+\boldsymbol{c} \), what is the value of \( \boldsymbol{m} \) ? ![Graph showing straight line with y intercept (0,0) and x intercept (0,0). Also goes through the point (6,-4)]()
###Correct Answer###:\( -\frac{2}{3} \)
###Misconcepte Incorrect answer###:A.\( -\frac{1}{2} \)",554_A,Work out the equation of a line with a negative gradient from an accurate drawing,Gradient as change in y over change in x,"If you were to write the equation of this line in the form \( \boldsymbol{y}=\boldsymbol{m} \boldsymbol{x}+\boldsymbol{c} \), what is the value of \( \boldsymbol{m} \) ? ![Graph showing straight line with y intercept (0,0) and x intercept (0,0). Also goes through the point (6,-4)]()",\( -\frac{2}{3} \),\( -\frac{1}{2} \),2095.0
1311,"###question###:Gradient as change in y over change in x-Work out the equation of a line with a negative gradient from an accurate drawing-If you were to write the equation of this line in the form \( \boldsymbol{y}=\boldsymbol{m} \boldsymbol{x}+\boldsymbol{c} \), what is the value of \( \boldsymbol{m} \) ? ![Graph showing straight line with y intercept (0,0) and x intercept (0,0). Also goes through the point (6,-4)]()
###Correct Answer###:\( -\frac{2}{3} \)
###Misconcepte Incorrect answer###:C.\( -\frac{3}{2} \)",554_C,Work out the equation of a line with a negative gradient from an accurate drawing,Gradient as change in y over change in x,"If you were to write the equation of this line in the form \( \boldsymbol{y}=\boldsymbol{m} \boldsymbol{x}+\boldsymbol{c} \), what is the value of \( \boldsymbol{m} \) ? ![Graph showing straight line with y intercept (0,0) and x intercept (0,0). Also goes through the point (6,-4)]()",\( -\frac{2}{3} \),\( -\frac{3}{2} \),1704.0
1312,"###question###:Square Roots, Cube Roots, etc-Given the area of a square, calculate a missing dimension-A square has an area \( 36 \mathrm{~mm}^{2} \) What is the length of one side of the square?
###Correct Answer###:\( 6 \mathrm{~mm} \)
###Misconcepte Incorrect answer###:C.\( 18 \mathrm{~mm} \)",555_C,"Given the area of a square, calculate a missing dimension","Square Roots, Cube Roots, etc",A square has an area \( 36 \mathrm{~mm}^{2} \) What is the length of one side of the square?,\( 6 \mathrm{~mm} \),\( 18 \mathrm{~mm} \),734.0
1313,"###question###:Square Roots, Cube Roots, etc-Given the area of a square, calculate a missing dimension-A square has an area \( 36 \mathrm{~mm}^{2} \) What is the length of one side of the square?
###Correct Answer###:\( 6 \mathrm{~mm} \)
###Misconcepte Incorrect answer###:D.\( 9 \mathrm{~mm} \)",555_D,"Given the area of a square, calculate a missing dimension","Square Roots, Cube Roots, etc",A square has an area \( 36 \mathrm{~mm}^{2} \) What is the length of one side of the square?,\( 6 \mathrm{~mm} \),\( 9 \mathrm{~mm} \),1678.0
1314,"###question###:Linear Equations-Solve one-step linear equations requiring multiplication or division, with all positive integers-Isaac is solving an equation. This is the left-hand side of two lines of working from Isaac's book. Isaac always records what operation he has done to both sides of the equation.

What operation should replace the star? ![A diagram showing the change from the equations 9y = to y = represented by a gold star]()
###Correct Answer###:\( \div 9 \)
###Misconcepte Incorrect answer###:A.\( +9 \)",556_A,"Solve one-step linear equations requiring multiplication or division, with all positive integers",Linear Equations,"Isaac is solving an equation. This is the left-hand side of two lines of working from Isaac's book. Isaac always records what operation he has done to both sides of the equation.

What operation should replace the star? ![A diagram showing the change from the equations 9y = to y = represented by a gold star]()",\( \div 9 \),\( +9 \),1134.0
1315,"###question###:Linear Equations-Solve one-step linear equations requiring multiplication or division, with all positive integers-Isaac is solving an equation. This is the left-hand side of two lines of working from Isaac's book. Isaac always records what operation he has done to both sides of the equation.

What operation should replace the star? ![A diagram showing the change from the equations 9y = to y = represented by a gold star]()
###Correct Answer###:\( \div 9 \)
###Misconcepte Incorrect answer###:B.\( \times 9 \)",556_B,"Solve one-step linear equations requiring multiplication or division, with all positive integers",Linear Equations,"Isaac is solving an equation. This is the left-hand side of two lines of working from Isaac's book. Isaac always records what operation he has done to both sides of the equation.

What operation should replace the star? ![A diagram showing the change from the equations 9y = to y = represented by a gold star]()",\( \div 9 \),\( \times 9 \),1214.0
1316,"###question###:Linear Equations-Solve one-step linear equations requiring multiplication or division, with all positive integers-Isaac is solving an equation. This is the left-hand side of two lines of working from Isaac's book. Isaac always records what operation he has done to both sides of the equation.

What operation should replace the star? ![A diagram showing the change from the equations 9y = to y = represented by a gold star]()
###Correct Answer###:\( \div 9 \)
###Misconcepte Incorrect answer###:D.\( -9 \)",556_D,"Solve one-step linear equations requiring multiplication or division, with all positive integers",Linear Equations,"Isaac is solving an equation. This is the left-hand side of two lines of working from Isaac's book. Isaac always records what operation he has done to both sides of the equation.

What operation should replace the star? ![A diagram showing the change from the equations 9y = to y = represented by a gold star]()",\( \div 9 \),\( -9 \),1190.0
1317,"###question###:Block Graphs and Bar Charts-Interpret a bar chart-The bar chart shows the number of cups of tea and coffee sold in a café over \( 4 \) days.

How many cups of coffee were sold on Tuesday? ![A dual bar bar chart showing the number of cups of tea and coffee sold Monday to Thursday. The vertical scale showing the number of cups sold has 10 small boxes between 0 and 10.The bar for tea on Tuesday reaches 2 small boxes above 10. The bar for coffee on Tuesday reaches 5 small boxes above 40.]()
###Correct Answer###:\( 45 \)
###Misconcepte Incorrect answer###:A.\( 50 \)",557_A,Interpret a bar chart,Block Graphs and Bar Charts,"The bar chart shows the number of cups of tea and coffee sold in a café over \( 4 \) days.

How many cups of coffee were sold on Tuesday? ![A dual bar bar chart showing the number of cups of tea and coffee sold Monday to Thursday. The vertical scale showing the number of cups sold has 10 small boxes between 0 and 10.The bar for tea on Tuesday reaches 2 small boxes above 10. The bar for coffee on Tuesday reaches 5 small boxes above 40.]()",\( 45 \),\( 50 \),2095.0
1318,"###question###:Simplifying Algebraic Fractions-Simplify an algebraic fraction by factorising the numerator-Simplify the following, if possible: \( \frac{t^{2}+t-2}{t-1} \)
###Correct Answer###:\( t+2 \)
###Misconcepte Incorrect answer###:B.\( t-1 \)",558_B,Simplify an algebraic fraction by factorising the numerator,Simplifying Algebraic Fractions,"Simplify the following, if possible: \( \frac{t^{2}+t-2}{t-1} \)",\( t+2 \),\( t-1 \),1755.0
1319,"###question###:Simplifying Algebraic Fractions-Simplify an algebraic fraction by factorising the numerator-Simplify the following, if possible: \( \frac{t^{2}+t-2}{t-1} \)
###Correct Answer###:\( t+2 \)
###Misconcepte Incorrect answer###:C.\( t-2 \)",558_C,Simplify an algebraic fraction by factorising the numerator,Simplifying Algebraic Fractions,"Simplify the following, if possible: \( \frac{t^{2}+t-2}{t-1} \)",\( t+2 \),\( t-2 \),1755.0
1320,"###question###:Simplifying Algebraic Fractions-Simplify an algebraic fraction by factorising the numerator-Simplify the following, if possible: \( \frac{t^{2}+t-2}{t-1} \)
###Correct Answer###:\( t+2 \)
###Misconcepte Incorrect answer###:D.Does not simplify",558_D,Simplify an algebraic fraction by factorising the numerator,Simplifying Algebraic Fractions,"Simplify the following, if possible: \( \frac{t^{2}+t-2}{t-1} \)",\( t+2 \),Does not simplify,167.0
1321,"###question###:Properties of Polygons-Understand the terms equilateral and regular, and recognise the notation for regular polygons-An equilateral shape must have...
###Correct Answer###:All sides equal
###Misconcepte Incorrect answer###:B.All sides and all angles equal",559_B,"Understand the terms equilateral and regular, and recognise the notation for regular polygons",Properties of Polygons,An equilateral shape must have...,All sides equal,All sides and all angles equal,527.0
1322,"###question###:Properties of Polygons-Understand the terms equilateral and regular, and recognise the notation for regular polygons-An equilateral shape must have...
###Correct Answer###:All sides equal
###Misconcepte Incorrect answer###:C.A right angle",559_C,"Understand the terms equilateral and regular, and recognise the notation for regular polygons",Properties of Polygons,An equilateral shape must have...,All sides equal,A right angle,527.0
1323,"###question###:Properties of Polygons-Understand the terms equilateral and regular, and recognise the notation for regular polygons-An equilateral shape must have...
###Correct Answer###:All sides equal
###Misconcepte Incorrect answer###:D.All angles equal",559_D,"Understand the terms equilateral and regular, and recognise the notation for regular polygons",Properties of Polygons,An equilateral shape must have...,All sides equal,All angles equal,527.0
1324,"###question###:Sharing in a Ratio-Given information about one part, work out other parts-Jess and Heena share some sweets in the ratio \( 3\;: 5 \).
Jess gets \( 15 \) sweets.
How many sweets does Heena get?
###Correct Answer###:\( 25 \)
###Misconcepte Incorrect answer###:A.\( 17 \)",560_A,"Given information about one part, work out other parts",Sharing in a Ratio,"Jess and Heena share some sweets in the ratio \( 3\;: 5 \).
Jess gets \( 15 \) sweets.
How many sweets does Heena get?",\( 25 \),\( 17 \),2356.0
1325,"###question###:Transformations of functions in the form f(x)-Identify vertical translations in the form f(x) = for non-trigonometric functions-What transformation maps the graph of
\(y=f(x)\)
to the graph of
\(y=f(x)+1\)
###Correct Answer###:Translation by vector
\(\left[\begin{array}{l}
0 \\
1
\end{array}\right]\)
###Misconcepte Incorrect answer###:B.Translation by vector
\(\left[\begin{array}{l}
0 \\
-1
\end{array}\right]\)",561_B,Identify vertical translations in the form f(x) = for non-trigonometric functions,Transformations of functions in the form f(x),"What transformation maps the graph of
\(y=f(x)\)
to the graph of
\(y=f(x)+1\)","Translation by vector
\(\left[\begin{array}{l}
0 \\
1
\end{array}\right]\)","Translation by vector
\(\left[\begin{array}{l}
0 \\
-1
\end{array}\right]\)",2380.0
1326,"###question###:Transformations of functions in the form f(x)-Identify vertical translations in the form f(x) = for non-trigonometric functions-What transformation maps the graph of
\(y=f(x)\)
to the graph of
\(y=f(x)+1\)
###Correct Answer###:Translation by vector
\(\left[\begin{array}{l}
0 \\
1
\end{array}\right]\)
###Misconcepte Incorrect answer###:C.Translation by vector
\(\left[\begin{array}{l}
1 \\
0
\end{array}\right]\)",561_C,Identify vertical translations in the form f(x) = for non-trigonometric functions,Transformations of functions in the form f(x),"What transformation maps the graph of
\(y=f(x)\)
to the graph of
\(y=f(x)+1\)","Translation by vector
\(\left[\begin{array}{l}
0 \\
1
\end{array}\right]\)","Translation by vector
\(\left[\begin{array}{l}
1 \\
0
\end{array}\right]\)",1312.0
1327,"###question###:Transformations of functions in the form f(x)-Identify vertical translations in the form f(x) = for non-trigonometric functions-What transformation maps the graph of
\(y=f(x)\)
to the graph of
\(y=f(x)+1\)
###Correct Answer###:Translation by vector
\(\left[\begin{array}{l}
0 \\
1
\end{array}\right]\)
###Misconcepte Incorrect answer###:D.Translation by vector
\(\left[\begin{array}{l}
-1 \\
0
\end{array}\right]\)",561_D,Identify vertical translations in the form f(x) = for non-trigonometric functions,Transformations of functions in the form f(x),"What transformation maps the graph of
\(y=f(x)\)
to the graph of
\(y=f(x)+1\)","Translation by vector
\(\left[\begin{array}{l}
0 \\
1
\end{array}\right]\)","Translation by vector
\(\left[\begin{array}{l}
-1 \\
0
\end{array}\right]\)",362.0
1328,"###question###:Direct Proportion-Given an exchange rate x = ny, convert to work out the number of x’s for a given y-\begin{tabular}{|l|}
\hline Exchange rates \\
\\
\( £ 1=€ 1.17 \) \\
\( £ 1=\$ 1.31 \)
\end{tabular} How much is \( \$ 5 \) worth in pounds ( \( £ \) )?
###Correct Answer###:\( 3.82 \)
###Misconcepte Incorrect answer###:A.\( 6.55 \)",562_A,"Given an exchange rate x = ny, convert to work out the number of x’s for a given y",Direct Proportion,"\begin{tabular}{|l|}
\hline Exchange rates \\
\\
\( £ 1=€ 1.17 \) \\
\( £ 1=\$ 1.31 \)
\end{tabular} How much is \( \$ 5 \) worth in pounds ( \( £ \) )?",\( 3.82 \),\( 6.55 \),2433.0
1329,"###question###:Direct Proportion-Given an exchange rate x = ny, convert to work out the number of x’s for a given y-\begin{tabular}{|l|}
\hline Exchange rates \\
\\
\( £ 1=€ 1.17 \) \\
\( £ 1=\$ 1.31 \)
\end{tabular} How much is \( \$ 5 \) worth in pounds ( \( £ \) )?
###Correct Answer###:\( 3.82 \)
###Misconcepte Incorrect answer###:C.\( 5 \)",562_C,"Given an exchange rate x = ny, convert to work out the number of x’s for a given y",Direct Proportion,"\begin{tabular}{|l|}
\hline Exchange rates \\
\\
\( £ 1=€ 1.17 \) \\
\( £ 1=\$ 1.31 \)
\end{tabular} How much is \( \$ 5 \) worth in pounds ( \( £ \) )?",\( 3.82 \),\( 5 \),2433.0
1330,"###question###:Rearranging Formula and Equations-Rearrange formulae to change the subject where the subject appears once and two steps are needed-Rearrange the following equation to make \( r \) the subject
\[
p=3 r-5
\]
###Correct Answer###:\( r=\frac{p+5}{3} \)
###Misconcepte Incorrect answer###:B.\( r=p+5 \div 3 \)",563_B,Rearrange formulae to change the subject where the subject appears once and two steps are needed,Rearranging Formula and Equations,"Rearrange the following equation to make \( r \) the subject
\[
p=3 r-5
\]",\( r=\frac{p+5}{3} \),\( r=p+5 \div 3 \),2586.0
1331,"###question###:Rearranging Formula and Equations-Rearrange formulae to change the subject where the subject appears once and two steps are needed-Rearrange the following equation to make \( r \) the subject
\[
p=3 r-5
\]
###Correct Answer###:\( r=\frac{p+5}{3} \)
###Misconcepte Incorrect answer###:C.\( r=\frac{p-5}{3} \)",563_C,Rearrange formulae to change the subject where the subject appears once and two steps are needed,Rearranging Formula and Equations,"Rearrange the following equation to make \( r \) the subject
\[
p=3 r-5
\]",\( r=\frac{p+5}{3} \),\( r=\frac{p-5}{3} \),1971.0
1332,"###question###:Expanding Single Brackets-Multiply a single term over a bracket where the term on the outside is a number and the inside contains a linear expression-Multiply out the brackets: \( -5(m-7) \)
###Correct Answer###:\( -5 m+35 \)
###Misconcepte Incorrect answer###:A.\( 5 m+35 \)",564_A,Multiply a single term over a bracket where the term on the outside is a number and the inside contains a linear expression,Expanding Single Brackets,Multiply out the brackets: \( -5(m-7) \),\( -5 m+35 \),\( 5 m+35 \),974.0
1333,"###question###:Expanding Single Brackets-Multiply a single term over a bracket where the term on the outside is a number and the inside contains a linear expression-Multiply out the brackets: \( -5(m-7) \)
###Correct Answer###:\( -5 m+35 \)
###Misconcepte Incorrect answer###:B.\( -5 m-35 \)",564_B,Multiply a single term over a bracket where the term on the outside is a number and the inside contains a linear expression,Expanding Single Brackets,Multiply out the brackets: \( -5(m-7) \),\( -5 m+35 \),\( -5 m-35 \),1597.0
1334,"###question###:Laws of Indices-Raise an integer to a positive non-unit fraction power-\( (16)^{\frac{5}{2}}=? \)
###Correct Answer###:\( 1024 \)
###Misconcepte Incorrect answer###:C.\( 20 \)",565_C,Raise an integer to a positive non-unit fraction power,Laws of Indices,\( (16)^{\frac{5}{2}}=? \),\( 1024 \),\( 20 \),823.0
1335,"###question###:Laws of Indices-Raise an integer to a positive non-unit fraction power-\( (16)^{\frac{5}{2}}=? \)
###Correct Answer###:\( 1024 \)
###Misconcepte Incorrect answer###:D.\( 40 \)",565_D,Raise an integer to a positive non-unit fraction power,Laws of Indices,\( (16)^{\frac{5}{2}}=? \),\( 1024 \),\( 40 \),1072.0
1336,"###question###:Rearranging Formula and Equations-Rearrange formulae to change the subject where the subject appears once and three or more steps are needed-Tom and Katie are discussing rearranging \( p=\sqrt{5-q} \) to make \( q \) the subject Tom says a correct first line of working could be: \( p^{2}=5-q \) Katie says a correct first line of working could be: \( p+\sqrt{q}=\sqrt{5} \)
Who is correct?
###Correct Answer###:Only Tom
###Misconcepte Incorrect answer###:B.Only Katie",566_B,Rearrange formulae to change the subject where the subject appears once and three or more steps are needed,Rearranging Formula and Equations,"Tom and Katie are discussing rearranging \( p=\sqrt{5-q} \) to make \( q \) the subject Tom says a correct first line of working could be: \( p^{2}=5-q \) Katie says a correct first line of working could be: \( p+\sqrt{q}=\sqrt{5} \)
Who is correct?",Only Tom,Only Katie,483.0
1337,"###question###:Rearranging Formula and Equations-Rearrange formulae to change the subject where the subject appears once and three or more steps are needed-Tom and Katie are discussing rearranging \( p=\sqrt{5-q} \) to make \( q \) the subject Tom says a correct first line of working could be: \( p^{2}=5-q \) Katie says a correct first line of working could be: \( p+\sqrt{q}=\sqrt{5} \)
Who is correct?
###Correct Answer###:Only Tom
###Misconcepte Incorrect answer###:C.Both Tom and Katie",566_C,Rearrange formulae to change the subject where the subject appears once and three or more steps are needed,Rearranging Formula and Equations,"Tom and Katie are discussing rearranging \( p=\sqrt{5-q} \) to make \( q \) the subject Tom says a correct first line of working could be: \( p^{2}=5-q \) Katie says a correct first line of working could be: \( p+\sqrt{q}=\sqrt{5} \)
Who is correct?",Only Tom,Both Tom and Katie,483.0
1338,"###question###:Expanding Double Brackets-Multiply an integer and an algebraic term -James is expanding these two brackets.

What should he get when he multiplies the two terms indicated by the arrows? ![The brackets shown are (x-8)(x-2). The arrows are pointing at the x in the first bracket and the -2 in the second bracket.]()
###Correct Answer###:\( -2 x \)
###Misconcepte Incorrect answer###:C.\( x-2 \)",567_C,Multiply an integer and an algebraic term ,Expanding Double Brackets,"James is expanding these two brackets.

What should he get when he multiplies the two terms indicated by the arrows? ![The brackets shown are (x-8)(x-2). The arrows are pointing at the x in the first bracket and the -2 in the second bracket.]()",\( -2 x \),\( x-2 \),2143.0
1339,"###question###:Expanding Double Brackets-Multiply an integer and an algebraic term -James is expanding these two brackets.

What should he get when he multiplies the two terms indicated by the arrows? ![The brackets shown are (x-8)(x-2). The arrows are pointing at the x in the first bracket and the -2 in the second bracket.]()
###Correct Answer###:\( -2 x \)
###Misconcepte Incorrect answer###:D.\( +2 x \)",567_D,Multiply an integer and an algebraic term ,Expanding Double Brackets,"James is expanding these two brackets.

What should he get when he multiplies the two terms indicated by the arrows? ![The brackets shown are (x-8)(x-2). The arrows are pointing at the x in the first bracket and the -2 in the second bracket.]()",\( -2 x \),\( +2 x \),583.0
